part_id,compatible_models,part_category,part_name,part_maker,grade,price_yen,power_delta_ps,torque_delta_nm,acceleration_delta_sec,top_speed_delta_kmh,fuel_efficiency_delta_km_per_l,weight_delta_kg,handling_score_delta,braking_distance_delta_m,description
47,GR Corolla,tire,ADVAN A052 235/40R18,Yokohama,racing,110000,0,0,-0.3,0,-1.2,0,1.4,-5,セミスリックタイヤ
48,Supra,ecu_tune,2JZ-GTE ECUチューン Stage1,HKS,sport,65000,20,30,-0.2,5,-0.5,0,0.0,0,点火・燃調最適化
49,Supra,ecu_tune,2JZ-GTE ECUチューン Stage2,HKS,racing,130000,50,70,-0.4,10,-1.2,0,0.1,0,ブーストアップ対応強化チューン
50,Supra,exhaust,Hi-Power マフラー 2JZ,HKS,sport,110000,10,8,-0.1,4,0.3,-4,0.0,0,スポーツマフラー
51,Supra,exhaust,SUPER TURBO マフラー 2JZ,HKS,racing,200000,18,15,-0.2,6,0.5,-6,0.0,0,競技用高性能マフラー
52,Supra,suspension,Super Street コイルオーバー,TEIN,sport,80000,0,0,0.0,0,0.0,2,1.1,-3,車高調整式
53,Supra,suspension,B16 コイルオーバー,Bilstein,racing,210000,0,0,0.0,0,0.0,3,1.7,-4,競技対応ダンパー
54,Supra,brake,MX72 ブレーキパッド,Endless,sport,16000,0,0,0.0,0,0.0,0,0.3,-3,高温対応ストリートパッド
55,Supra,brake,GT ビッグブレーキキット,Brembo,racing,330000,0,0,0.0,0,0.0,7,0.4,-7,前後ビッグキャリパー換装
56,Supra,tire,ADVAN Neova AD09 235/45R17,Yokohama,sport,65000,0,0,-0.2,0,-0.7,0,0.8,-3,ハイグリップスポーツタイヤ
57,Supra,tire,Potenza RE-71RS 235/45R17,Bridgestone,racing,90000,0,0,-0.3,0,-1.1,0,1.2,-5,セミスリックタイヤ
58,Supra,turbo,SUPER SEQUENTIAL ターボキット,HKS,racing,600000,80,120,-0.5,15,-1.5,8,0.0,0,シーケンシャルツインターボ換装
59,Supra,air_filter,Racing Suction エアクリーナー,HKS,sport,22000,4,3,0.0,1,-0.1,-1,0.0,0,剥き出しタイプ吸気抵抗低減
60,Celica,ecu_tune,3S-GTE ECUチューン Stage1,HKS,sport,55000,20,25,-0.2,5,-0.5,0,0.0,0,燃調・点火最適化
61,Celica,exhaust,Nur Spec マフラー 3S-GTE,Blitz,sport,90000,8,6,-0.1,3,0.3,-3,0.0,0,スポーツマフラー
62,Celica,suspension,SS コイルオーバー,TEIN,sport,65000,0,0,0.0,0,0.0,1,0.9,-2,車高調整式
63,Celica,brake,MX72 ブレーキパッド,Endless,sport,14000,0,0,0.0,0,0.0,0,0.2,-2,ストリート向け高性能パッド
64,Celica,tire,Potenza RE-71RS 205/50R15,Bridgestone,racing,60000,0,0,-0.25,0,-1.0,0,1.0,-4,セミスリックタイヤ
65,Celica,ecu_tune,2ZZ-GE ECUチューン,HKS,sport,50000,8,5,-0.1,3,-0.2,0,0.0,0,高回転域重視NAチューン
66,Celica,exhaust,Authorize R マフラー 2ZZ-GE,FUJITSUBO,sport,85000,6,4,-0.1,3,0.3,-2,0.0,0,スポーツマフラー
67,Celica,suspension,SS コイルオーバー FF用,TEIN,sport,60000,0,0,0.0,0,0.0,0,0.8,-2,FF専用セッティング
68,Celica,brake,B Spec ブレーキパッド,Project Mu,sport,13000,0,0,0.0,0,0.0,0,0.2,-2,ストリート向け高性能パッド
69,Celica,tire,ADVAN Neova AD09 195/50R16,Yokohama,sport,55000,0,0,-0.2,0,-0.8,0,0.9,-3,ハイグリップスポーツタイヤ
70,MR2,ecu_tune,3S-GTE ECUチューン Stage1,HKS,sport,55000,18,22,-0.2,5,-0.5,0,0.0,0,燃調最適化MRレイアウト対応
71,MR2,exhaust,Hi-Power マフラー MR2用,HKS,sport,95000,9,7,-0.1,3,0.3,-3,0.0,0,MRレイアウト専用設計
72,MR2,suspension,Super Street コイルオーバー MR2,TEIN,sport,70000,0,0,0.0,0,0.0,1,1.0,-2,MR専用前後セッティング
73,MR2,suspension,Road & Track コイルオーバー MR2,Öhlins,racing,240000,0,0,0.0,0,0.0,3,1.8,-4,競技対応プレミアムダンパー
74,MR2,brake,MX72 ブレーキパッド,Endless,sport,14000,0,0,0.0,0,0.0,0,0.2,-3,高温対応ストリート向け
75,MR2,brake,GT ブレーキキット,Brembo,racing,280000,0,0,0.0,0,0.0,5,0.4,-6,ビッグキャリパー換装
76,MR2,tire,Potenza RE-71RS 225/50R15,Bridgestone,racing,65000,0,0,-0.3,0,-1.2,0,1.2,-5,セミスリックタイヤ
77,MR2,turbo,GT III ターボキット 3S-GTE,HKS,racing,500000,70,100,-0.5,15,-1.5,7,0.0,0,シングルタービン大型換装
78,MR2,ecu_tune,3S-GE ECUチューン,HKS,sport,48000,8,5,-0.1,3,-0.2,0,0.0,0,点火・燃調最適化NAチューン
79,MR2,exhaust,Authorize R マフラー 3S-GE,FUJITSUBO,sport,88000,7,5,-0.1,3,0.3,-3,0.0,0,スポーツマフラー
